STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
34052-200;8320050001_BSP-3;S28/020-251;S28/020-251;S28/020-251;;;
34053-200;8320051013_U-3;S28/020-248;S28/020-248;S28/020-248;;;
34054-200;8320150001-0;;;S28/QC_020-251;;;5
34055-200;4R20000010-0;;;RAM/020-73;Kalacak;;
34056-100;2920000301_BSP-0;;;RAM/QC_020-73;;;
34061-200;4R25OA5010-0;;;RAM/025-464;;;5
34062-100;4R25PA5010-0;;;RAM/025-464;;;
34071-100;4320P49010-0;25200P0901_U-3;;S55/020-592;;2;
34072-100;4320P48010-0;25200P0801_U-3;;S55/020-564;;;5
34073-100;4320P4EN10-0;;;S55/020-EN1;;;5
34074-100;433RP08010-0;253R0P0801_U-3;;131-734;;;5
34075-100;4325P49010-0;25250P0901_U-3;;131894;;2;
34076-100;;#YOK;#YOK;#YOK;;;5
34077-100;4340P59010-0;25402P0901_U-3;;131858;Kalacak;;
34078-100;4320P59010-0;25202P0901_U-3;;S55/020-605 - 131880;Kalacak;;
34079-100;4315P49010-0;25150P0901_U-3;;S55/015-618-131896- 07;;;5
34080-100;4R60P50010-0;;;RAM/060-434- 131658;Kalacak;;
34081-200;4F3200DC10-0;263230DC01_VI-BSP-3;;S70/032-321  / 131802;;2;
34082-100;4315P42010-0;;;S55/015-437 - 131907;Kalacak;;
34083-100;4R40P45010-0;29400P0101_V1-3;;RAM/040-197/131-844;;2;
34084-100;252C0P2303_U-0;;;009396;;;
34085-100;4R20P45010-0;29200P0101_VI-3;;RAM/020-201 - 131618;Kalacak;;
34086-100;4Z40P0A010-0;85400P0AN1_U-3;;4Z40P0A010;Kalacak;;
34087-100;4R40P01030-0;29400P0003_U-3;;RAM/040-15- 005909;Kalacak;;
34088-100;29140PB801_AN15-3;29140PB801_U-3;;RAM/140-GF1B_xref;;;
34089-100;252C0P2304_U-0;;;009937;;;
34090-100;252C0P2305_U-0;;;009936;;;
34091-100;252C0P1304_U-0;;;008732/432CP00040;;;
34092-100;253B0P1301_IS16-3;;;009904/24-M5/245-001;;;
34093-100;252C0P0380_U-0;;;010084;;;5
34094-100;253F0P0381_U-0;;;010033;Kalacak;;
34095-100;252E0P1201_IS10-3;;;432EP08010;;;
34096-100;252A0P1301_U-3;;;432AP08010;;;
34097-100;432AP0C010-0;;;432AP0C010;;;
34098-100;252C0P2301_IS16-3;;;432CP08010;;;
34099-100;252C8P5C01_CRADLE_AN30-AN15-5;;;432CP0C010;;;
34100-100;4325P02010-0;;;S55/025-472;;;5
34101-200;4F330D2010-0;2633302D01_VIC/BSP-3;;S70/030-265-131800;;2;
34102-200;2230000001-0;;;S37/030-699;;;5
34103-200;2230000301-0;;;S37/030-675;;;5
34104-100;25162P0801_AN15-3;;;4316P58010-1;;;
34105-100;25122P0801_IS16-3;;;010111;;;
34106-100;4316P590101-0;;;4316P590101;;;
34107-100;25142P0801_U-3;;;010360;;;
34108-100;4380P59010-0;;;010010-2;Kalacak;;
34109-100;25012P0901_U-0;;;010062;;2;
34111-200;2830H01201_NPT-3;;;S37/030-669;;;
34112-200;2930000003-0;;;RAM/030-260;Kalacak;;
34114-200;293R00A301_BSP-0;;;RAM/030-502;;;5
34115-100;29301P003_U-0;29301P0003_U-3;;RAM/030-260;Kalacak;;
34116-100;4R30P48010-0;29300P0801_U-3;;RAM/030-439-131818;Kalacak;;
34117-100;4301P05810-0;;;4301P5810-S53/100-1406;;2;
34118-100;25802P0801_U-0;;;4380P5810;Kalacak;;
34119-100;25200P0011_NPT-0;;;015002;;;5
34120-100;2520VP0101_VI-0;;;014993-4320PV1010;;2;
34121-100;25300P0801-0; ;;S56/030-357;;2;
34122-100;25300P0310-0;;;S56/030-238;;2;
34124-100;25300P0901-0;S56/030-365;S56/030-365;S56/030-365;;;5
34125-100;4330P4EN10-0;25300PEN01_U-3;;S56/030-EN01;;;5
34127-100;2525VP0101_VI-0;;;013937;;2;
34128-100;29160PB801_IS16-3;;;RAM/QC_160GF1B_xref;;;
34129-100;253A0P5A01_AN15-3;;;012491;;;
34130-100;433AP0C010-0;;;012515;;;
34142-200;4133C00010-0;S13/030-381;S13/030-381;S13/030-381;;;5
34143-200;1230101012_U-3;1230101012_U;1230101012_U;1230101012;;;
34144-100;4130CP201-0;1230CP2001_U-3;;S13/030-505;Kalacak;;
34145-100;1230CP20V1_U-3;S13/030-515;S13/030-515;S13/030-515;;;
34146-100;1230CP20V1_VI-0;1230CP20V1_VI-3;;S13/030-515;Kalacak;;
34152-100;25400P0727-0;S53/040-871;S53/040-871;S53/040-871;;2;
34161-200;294000CS03-0;294000CS03_U-3;;RAM/040-15;;;5
34162-200;4R40001030-0;;;4R40001030-08;Kalacak;;
34192-100;1240CP6001_U-0;;;S26/040-290;Kalacak;;
34193-100;12400P0012_U-0;;;41400P0120/022102-01;Kalacak;;
34194-200;1240101023-0;1240101023_U-3;;;;;5
34195-200;1240C01001_IS16-3; S26/040-214; S26/040-214; S26/040-214;;;
34196-200;124RC01001_IS16-3;S26/040-221;S26/040-221;S26/040-221;;;
34197-100;1240CP20V1_U-3;S26/040-307;S26/040-307;S26/040-307;;;
34198-100;1240CP20V1_VI-0;1240CP20V1_VI-3;;S26/040-307;;;
34211-200;2960000001_U-0;;;RAM/060-32;Kalacak;;
34212-200;296000CS03-0;;;RAM/060-43;Kalacak;;
34213-200;2960000003_U-0;;;RAM/060-43;Kalacak;;
34221-100;4360P00200-0;;;S53/060-990;;2;
34222-100;25600P0801-0;25600P0801_U-3;;S53/060-1380;;;5
34223-100;25600P0327-0;25600PE027_U-3;;S53/060-991;;;5
34224-100;4360P49010-0;25600P0901_U-3;;S53/060-1422;;2;
34225-100;4360P4EN10-0;25600PEN01_U-3;;S53/QC_060-EN1.DWG;;;5
34226-100;1260CPV001-0;1260CPV001-3;;S22/060-328;;;
34230-200;4R8000R030-0;;;000704;Kalacak;;
34241-100;12600P0012-0;12600P0012_U-3;;S22/060-318;Kalacak;;
34242-100;1260CP2001-0;1260CP2001_U-3;;S22/060-317 / 4160CP2010;Kalacak;;
34244-200;4160C06010-0;;;S22/060-188;;2;
34245-100;1260CP20V1_VI-0;1260CP20V1_VI-3;;S22/060-328;;;
34251-200;4R80001030-0;2980000003_U-3;;RAM/080-219;Kalacak;;
34252-100;4R80P01030-0;29800P0003_U-3;;RAM/080-219;Kalacak;;
34261-200;4R80004010-0;2980000001_U-3;;RAM/080-215;Kalacak;;
34263-100;4R80P48010-0 İPTAL;29800P0801_U-3;;RAM/080-442-4;;2;
34271-100;438RP48010-0;S53/QC_086-1101;S53/QC_086-1101;S53/QC_086-1101;;;5
34272-100;25800P0801-0;25800P0801_U-3;;S53/080-1381;;2;
34273-100;4380P49010-0;25800P0901_U-3;;S53/080-1423;;2;
34274-100;25800P0020_U-0;25800P0020_U-3;;S53/080-967;Kalacak;;
34275-100;4Z40P01020-0;85400P0102_U-3;;4Z40P01020;Kalacak;;
34276-100;25800P0027_U-0;25800P0027_U-3;;S53/080-969;Kalacak;;
34277-100;4380P4ES10-0;ES/080-001;ES/080-001;ES/080-001;;;
34278-100;25800PEN01_IS16-3;25800PEN01_U-3;;S53/QC_080-EN1;;;
34279-100;4Z40P02020-0;85400P0202_U-3;;000489;Kalacak;;
34290-100;4Z40P00010-0;85400P001_U-3;;4Z40P00010;;;5
34291-200;1280C01001_U-3;S27/080-137;S27/080-137;S27/080-137;;;
34292-100;1280CP2001_IS16-3;1280CP2001_U-3;;S27/080-158;;;
00100-200;2528935K91-0;FUNDA AMAN HA FUNDA;;;;;5
34295-100;4R20P40010-0;;;RAM/020-411/131898;Kalacak;;
34296-100;413R000S10-0;;;S8/QC_032-343/131-923;;;
34297-100;4315P48010-0;;;S55/015-697/131-770;;;5
34298-200;4F44004710-0;;;S70/044-336-131876;;;5
34299-100;4R15P41010-0;;;RAM/QC_015-589/131-614//021147-02;;2;
34300-100;4R12P04020-0;;;RAM/120-379 / 131743;Kalacak;;
34301-100;25010P0901-0;;;019172-REV.01;;2;
34302-100;4Z20P01020-0;85200P0102_U-B-3;;4Z20P01020;Kalacak;;
34303-100;4Z20P02020-0;85200P0202_U-B-3;;001421;Kalacak;;
34304-100;4Z20P0B010-0;85200P0BN1_U-3;;005249;Kalacak;;
34305-100;4Z20P02010-0;;;4Z20P02010-005244;Kalacak;;
34306-100;4Z30P01020-0;85300P0102_U-3;;002860;Kalacak;;
34307-100;4Z30P02020-0;85300P0202_U-B-3;;009828;Kalacak;;
34308-100;4Z30P00010_U-3;4Z30P00010_U-3;;;;;
34309-100;4T40P05030-0;24400P0503_U-3;;TORRENT/040-003;Kalacak;;
34310-100;4T80P05030-0;24800P0503_U-3;;TORRENT/080-003-06;Kalacak;;
34311-100;25010PEN01_IS16-3; ;;S53/100-EN1;;;
34312-100;29010P0201_IS10-3;29010P0801_U-3;;RAM/100-449;;;
34313-100;4T30P05030-0;24300P0503_U-3;;TORRENT/030-003;Kalacak;;
34314-100;4T60P05030-0;24600P0503_U-3;;TORRENT/060-003;Kalacak;;
34315-100;4T40PV8510-0;2440VP6801_VI-3;;TORRENT/040-YF1;Kalacak;;
34316-100;4T30PV8510-0;2430VP6801_VI-3;;TORRENT/030-YF1;Kalacak;;
34317-100;4T60PV8510-0;;;TORRENT/060-YF1;Kalacak;;
34318-100;4T80PV8510-0;2480VP6801_VI-3;;TORRENT/080-YF1;Kalacak;;
34319-100;4380PV1010-0;;;131035;Kalacak;;
34320-100;4330PV1010-0;;;S56/030-385 - 131033;;2;
34321-100;4301P48010-0;25010P0801_U-3;;019173;;2;
34322-100;25010PE027_U-0;25010PE027_U-3;;S53/100-1078;;;5
34323-100;25010P0020-0;25010P0020_U-3;;S53/100-1067;Kalacak;;
34324-100;25010P0027-0;S53/QC_100-1078;S53/QC_100-1078;S53/QC_100-1078;;;5
34325-200;4R20004010-0;;;RAM/020-276;Kalacak;;
34326-200;4R3R0A1010-0;;;RAM/030-272-131720;Kalacak;;
34327-100;434RP48010-0;;;S53/040-1472;;;
34328-200;4R25004010-0;;;131627;Kalacak;;
34329-200;4R300AV010-0;;;RAM/030-242-131636;;2;
34330-200;4R4R0A1010-0;294RA00001_U-3;;RAM/040-288- 131926;;;5
34331-200;4R400AV010-0;294000A101_VI-3;;RAM/040-229 - 131638;;2;
34332-100;4330P02010-0;;;S56/030-328;;2;
34333-100;41200P2010-0;;;131914;;;
34334-200;4R300B5010-0;;;131637;;2;
34336-100;4R60P48010-0 iptal;;;RAM/060-441-05 / 131656;;2;
34337-100;4315P59010-0;;;131888;;2;
34338-100;4340PV1010-0;;;S53/040-1601 -131032;;2;
34339-100;4360PV1010-0;;;S53/060-1602-131034;;2;
34340-100;4H25CP0010-0;;;131709;;2;
34341-100;41ARCP0010-0;S27/100-157;S27/100-157;S27/100-157;;;
34342-100;25AR0P0801_U-3;25AR0P0801_U-3;;S53/100-1212;;;
34343-100;4101CP2010-0;4101CP2010-3;;S27/100-168;;;
34344-200;4R200A0010-0;;;RAM/020-240- 131710;Kalacak;;
34345-100;4330P03010-0;;;131908;;2;
34346-100;4330P58010-0;;;131882;;;
34347-100;4330P59010-0;;;131868/Rev.05;Kalacak;;
34348-100;4T01P48510-0;24014P6801_U-3;;TORRENT/100-YF1-10;Kalacak;;
34349-100;4Z30P0A010-0;85300P0AN1_U-3;;005258;Kalacak;;
34350-100;4T01P49510-0;24014P6901_U-3;;TORRENT/100-YF1;Kalacak;;
34352-100;4T60P49510-0;;;4T60P49510;Kalacak;;
34353-100;4T40P49510-0;24404P6901_U-3;;4T40P49510;Kalacak;;
34354-100;4T30P49510-0;24304P6901;;TORRENT/030-YF1;;;5
34355-100;29120P0003_U-3;RAM/120-383;RAM/120-383;RAM/120-383;;;
34356-100;29120P0801-0;RAM/120-450;RAM/120-450;RAM/120-450;;2;
34357-100;29120PB801_AN15-3;29120PB801_U-3;;RAM/QC_120-GF1B_Mref;;;
34358-100;4R12P01B30-0;29120P0B03_U-3;;RAM/120-591;Kalacak;;
34359-100;29BR0P0801_IS16-3;29BR0P0801_U-3;;RAM/QC_120-637;;;
34360-100;25140P0801_U-0;25140P0801-3;;S53/140-1344;;;
34361-100;25140P0901_U-3;25140P0901_U-3;;S53/140-1355;;;
34362-100;25140PES01_U-0;25140PES01_U-3;;005037;;;
34363-100;4T60P48510-0;24604P5801_U-3;;4T60P48510;Kalacak;;
34364-100;4T40P48510-0;24404P5801_U-3;;TORRENT/040-YF1;Kalacak;;
34365-100;4T30P48510-0;24304P6801_U-3;;4T30P48510;Kalacak;;
34366-100;4T80P48510-0;24804P5801_U-3;;4T80P48510;Kalacak;;
34367-100;4T20P49510-0;24204P6801_U-3;;4T20P49510-010851-03;Kalacak;;
34368-100;4T20P05030-0;24200P0503_U-3;;004350-4T20P05030;Kalacak;;
34369-100;4T20P40010-0;2420VP6801_VI-3;;4T20P40010-005410-07;Kalacak;;
34370-100;4T25P49510-0;24254P6801_U-3;;4T25P49510-010859-03;Kalacak;;
34371-100;25BR0P0801_U-3;S53/120-1211;S53/120-1211;S53/120-1211;;;
34372-100;25120P0020_U-0;25120P0020_U-3;;S53/120-1065;Kalacak;;
34373-100;25120PE327-0;25120PE327_U-3;;S53/120-1066;Kalacak;;
34374-100;25120P0027-0;S53/120-1066;S53/120-1066;S53/120-1066;;;5
34375-100;25120PEN01_IS16-3;;;S53/120-EN1;;;
34376-100;25120P0801_AN15-3;25120P0801_U-3;;S53/120-1343;;;
34377-100;25120P0901_IS25-3;25120P0901_U-3;;S53/120-1425;;;
34378-100;12300PES12_U-0;12300PES12_U-3;;41300P0012;Kalacak;;
34379-100;25120PES01_U-3;25120PES01_U-3;;ES/120-006;;;
34381-100;41400P7180-0;;;009099;;;5
34382-100;4340PAS010-0;;;008813;;2;
34383-100;4340PBS010-0;;;008964;;2;
34384-100;4340PCS010-0;;;008829;;2;
34385-100;4360PAS010-0;;;008842;;2;
34386-100;4360PBS010-0;;;008846;;2;
34387-100;4360PCS010-0;;;008847;;;5
34391-100;25010PSA01_U-3;;;008895;;;
34392-100;25010PSB01_U-3;;;008980;;;
34393-100;25010PSC01_U-3;;;008981;;;
34394-100;25120PSA01_U-3;;;009042;;;
34395-100;25120PSB01_U-3;;;009046;;;
34396-100;25120PSC01_U-3;;;009049;;;
34401-100;413R00FS10-0;;;S13/032-452;;;5
34402-100;4150CP2010-0;;;009790;Kalacak;;
34403-100;4325P59010-0;;;S55/025-614;;2;
34404-100;4360PAN010-0;;;010347;;2;
34405-100;4360PBN010-0;;;010385;;2;
34406-100;4360PCN010-0;;;010388;;;5
34411-100;80400P0AN1_U-0;;;012897;Kalacak;;
34412-100;80400P0BN1_U-0;;;012920;;;5
34413-100;80400P0CN1_U-0;;;012923;;2;
34414-100;80600P0AN1_U-0;;;012936;Kalacak;;
34415-100;80600P0BN1_U-0;;;012954;Kalacak;;
34416-100;80600P0CN1_U-0;;;012956;;2;
00569-100;0945765-0;;;0945765;;;5
34418-100;1225CPF201_U-0;;;014288;;2;
34420-100;26443PDC03_VIC-0;;;015303;;2;
34421-100;25160P0320_U-0;25160P0320_U-3;;S53/160-875;Kalacak;;
34422-100;25240PSB01_U-0;;;012942;;;5
34423-100;25160P0801_AN15-3;25160P0801_U-3;;S53/160-1345;;;
34424-100;25160P0901_U-3;25160P0901_U-3;;S53/160-1356;;;
34425-100;25160P0027_U-0;25160P0027_U-3;;S53/160-877;Kalacak;;
34426-100;25010PE727_U-0;25010PE727_U-4;;S53/100-1078;Kalacak;;
34427-100;4360P00270-0;25600PE727_U-3;;S53/060-991/13;;2;
34428-100;2515VP0101_VI-0;;;013927;;2;
34429-100;25160PES01_U-3;25160PES01_U-3;;ES/160-040;;;
34430-100;24124P6801_AN15-3;24124P6801_U-3;;006944;;;
34431-100;24144P6801_AN15-3;24144P6801_U-3;;006975;;;
34432-100;24164P6801_AN15-3;24164P6801_U-0;;006982;;;
34433-100;4T12P05030-0;24120P0503_U-3;;006970-04;Kalacak;;
34434-100;24164P6901_AN30-3;;;014112;;;
34435-100;24124P6901_AN30-3;;;014114;;;
34436-100;1280CPA301_U-0;;;014996;Kalacak;;
34437-100;4700P00000-0;;;GAUGE/0-02;Kalacak;;
34438-100;85300P0043-0;;;015548;Kalacak;;
34440-100;25180P0801_U-3;25180P0801_U-3;;S53/180-1446;;;
34441-100;25180P0901_U-3;25180P0901_U-3;;S53/180-1357;;;
00533-200;478343720-0;;;47834372;;2;
00614-100;0964932-0;;;0964932;Kalacak;;
00709-200;;#YOK;#YOK;#YOK;;;5
34445-100;25120PNA01_U-3;;;016254-rev.5;;;
34446-100;25120PNB01_U-3;;;016260-rev.5;;;
34447-100;25120PNC01_U-3;;;016263-rev.5;;;
34448-100;25140PSB01_U-3;;;016466-Rev.4;;;
34449-100;25140PSC01_U-3;;;4314PCS010-016692;;;
34450-100;25160PSA01_U-3;;;4316PAS010-016700;;;
34451-100;25160PSB01_U-3;;;4316PBS010-016532;;;
34452-100;25160PSC01_U-3;;;4316PCS010-016699;;;
34453-100;4Z30P0C010-0;;;016405;Kalacak;;
34454-100;4Z60P0C010-0;;;016421;;2;
34455-100;4Z20P0C010-0;;;006424;Kalacak;;
34456-100;25010PNA01_U-3;;;016789-rev.3;;;
34457-100;25010PNB01_U-3;;;016792;;;
34458-100;25010PNC01_U-3;;;016793;;;
34459-100;4520PP0010-0;;;018352-rev.4;;;5
34460-100;4540PP0010-0;;;4540PP0010-rev.3;;;5
34461-100;2412FP6801_AN15-0;;;018171;;;
34462-100;25240P1401_CRADLE_IS25-5;S52/240-061;S52/240-061;S52/240-061/4324P09010;;;
34463-100;25240P0901_AN30-0;;;S52/240-029;;;
34464-100;25030P0801_AN15-0;S52/300-073;S52/300-073;S52/300-073;;;5
34465-100;25320P1301_IS16-3;25320P1301_IS16-3;;S52/320-064;;;
34466-100;25360P0801_AN15-3;;;S52/360-128;;;
34467-100;253F0P0303_U-3;253F0P0303_U-3;;003034;;;
34468-100;253F0P1304_U-3;253F0P1304_U-3;;003017;;;
34469-100;253F0P0801_AN15-3;253F0P0801_AN15-3;;;;;
34470-100;253F0P2305_U-3;253F0P2305_U-3;;;;;
34471-100;25020P0801_AN15-3;25020P0801-3;;S53/200-1347;;;
34472-100;25020P0901_U-0;;;S53/200-1358;;;5
34473-100;253F0P0319_U-3;253F0P0319_U-3;;433FP00190;;;
34474-100;253F0P0380_U-3;253F0P0380_U-3;;433FP00800;;;
34475-100;253F0P2304_U-3;253F0P2304_U-3;;;;;
34476-100;4Z60P02020-0;85600P0202_U-3;;000330;Kalacak;;
34477-100;4Z60P01020-0;85600P0102_3;;003000;Kalacak;;
34478-100;4Z20P0A010-0;85200P0AN1_U-3;;4Z20P0A010;Kalacak;;
34479-100;4Z30P0B010-0;85300P0BN1_U-3;;4Z30P0B010;;2;
34480-100;4Z40P0B010-0;85400P0BN1_U-3;;4Z40P0B010;Kalacak;;
34481-100;25280P0801_CRADLE_AN15-5;25280P1301_IS16-3;;S52/280-063;;;
34482-100;25240P0303_U-3;;;S52/240-003;;;
34483-100;25240P0302_U-3;;;S52/240-002;;;
34484-100;25240P0801_AN15-3;;;S52/240-060 / 4324P08010;;;
34485-100;25240P2901_ASTF-3;S52/240-081;S52/240-081;S52/240-081;;;
34486-100;25240P0319-0;;;S52/240-019;;;5
34487-100;25240P0301_CRADLE_IS10-3;;;S52/240-001;;;
34488-100;4Z40P0C010-0;85400P0CN1_U-3;;4Z40P0C010-06;;2;
34500-100;433FP00850-0;253F0P0385_U-3;;433FP00850;Kalacak;;
34502-100;253G0PLA01_IS16-3;;;433GP04010;;;
34503-100;253D0P0301_IS16-3;253D0P0301_IS16-3;;003337;;;
34504-100;4Z20P03020-0;;;007028;Kalacak;;
34505-100;4Z30P03020-0;;;007213;Kalacak;;
34506-100;4Z40P03020-0;;;005641;Kalacak;;
34507-100;4Z60P03020-0;;;007269;Kalacak;;
34508-100;4Z20P04020-0;;;4Z20P04020;;;
34509-100;4Z30P04020-0;;;4Z30P04020;;;
34510-100;4Z40P04020-0;;;4Z40P04020;;;
34511-100;4Z60P04020-0;;;4Z60P04020;;;5
34512-100;253D0P0901_AN30-3;;;433DP09010;;;
34513-100;4Z80P03020-0;;;008054;Kalacak;;
34514-100;4Z80P04020-0;;;010476;;;
34515-100;4350P4ES10-0;;;ES/050-YF1;Kalacak;;
00607-100;16286-0;;;3641622;;;5
00613-200;0412 4850-0;;;0412 4851;;;5
00639-200;84311633-0;;;84311633;;;5
00657-200;;#YOK;#YOK;#YOK;;;5
00735-200;;#YOK;#YOK;#YOK;;;5
34521-200;293000NW03_U-0;;;018446;;;5
34523-100;80800P0AN1_U-0;;;008828;Kalacak;;
34524-100;80800P0BN1_U-0;;;010716;;;5
34525-100;80800P0CN1_U-0;;;010717;;2;
34526-100;80010P0AN1_U-0;;;008972;Kalacak;;
34527-100;80010P0BN1_U-0;;;010709;;;5
34528-100;80010P0CN1_U-0;;;010710;;2;
34529-100;80120P0AN1_U-0;;;010840;;;5
34530-100;80120P0BN1_U-0;;;010854;;;5
34531-100;80120P0CN1_U-0;;;010860;;;5
34532-100;25020PES01_U-0;;;4302P4ES10;;;
34533-100;434FP0B010-0;;;434FP0B010;;;
34534-100;434FP04010-0;;;434FP04010;;;
34535-100;85600P0043-0;;;013162;Kalacak;;
34536-100;85800P0043-0;;;010373;Kalacak;;
34537-100;85400P0043-0;;;013434/1;Kalacak;;
34542-100;4530PP0010-0;;;017276-rev.3;;;5
34543-100;4T25PV8510-0;;;4T25PV8510-013404-02;Kalacak;;
34544-100;4B30002810-;;;021477-05;Kalacak;;
34544-200;4B30002810-0;;;020878-01/4B30002810;;;5
34545-100;4B300P0003-0;;017378-rev.4;019522-02;Kalacak;;
34545-200;1930000003-G-0;;017378;017378;;;
34546-200;264430DC03_VIC-0;;;4F4400DC30;;;5
34547-200;264430DC01_VIC-BSP-0;;;4F4400DC10;;2;
34550-100;4B200P0003-0;;;019520-02;Kalacak;;
34551-200;4B20002810-0;;;020858-01/4B20002810;;2;
34552-100;4E20P01010-0;;;014262;Kalacak;;
34553-100;88200P0AN1_U-0;;;014411;;;5
34554-100;4E20P0B010-0;;;015647;Kalacak;;
34555-100;88300P0AN1_U-0;;;018478;Kalacak;;
34556-100;88200P0003_U-0;;;018470;Kalacak;;
34557-100;88200P0002_U-0;;;018233;Kalacak;;
34559-100;4B400P0003-0;;;019525-02;Kalacak;;
34560-200;4B40002810-0;;;020898-01/4B40002810;Kalacak;;
00678-100;CE 20676-0;;;CE 20676;Kalacak;;
00729-200;L214821-0;;;L214861;;;5
00732-200;L214824-0;;;L214864C;;;5
01018-100;07744680-0;;;0207456.0;;;5
34565-100;25400PEN20_U-0;;;018433;;;5
34566-100;4R01P48B10-0;;;016933-01;Kalacak;;
34567-100;4T40PV8D10-0;;;018510-01;;2;
34568-100;29601P0003_U-0;;;RAM/060-43;Kalacak;;
34569-100;29250P0801_U-0;;;RAM/025-448;;;5
34570-100;2540NPSC01-3;;;019464;;;
01021-100;06448810-0;;;0208341.1;;;5
01029-200;213 489.1-0;;;213 489.1;;;5
34573-100;4Z01P00430-0;;;018584;Kalacak;;
34575-100;4Z01P03020-0;;;019069;Kalacak;;
34580-100;4B60P00030-0;;;019874-01/4B60P00030;;2;
34581-100;4Z01P0B010-0;;;019042-01/4Z01P0B010;;;5
34582-100;4Z01P0C010-0;;;019043-01/4Z01P0C010;;;5
34583-100;4E40P0A010-0;;;021719-01/4E40P0A010;Kalacak;;
34586-100;4R20P01030-0;;;022284-01/4R20P01030;Kalacak;;
34586-200;4R20001030-0;;;RAM/020/83-02 / 4R20001030;;2;
34587-100;4M12P1A010-0;;;022036-02/4M12P1A010;Kalacak;;
34588-100;4M12P1B010-0;;;022038-01/4M12P1B010;Kalacak;;
34589-100;4M12P1C010-0;;;022042-02/4M12P1C010;;;
34590-100;4E40P0B010-0;;;022843-01/4E40P0B010;;;5
34591-100;4R25P40010-0;;;022000-02/4R25P40010;Kalacak;;
34593-100;4R15P00030-0;;;022735-01/4R15P00030;Kalacak;;
01031-200;2172 768.2-0;;;2172 768.2;;;5
34595-100;4R25P48010-0;;;018053-01/4R25P48010;;2;
34596-200;4R250A0030-0;;;022019-02/4R250A0030;Kalacak;;
34599-100;4T600PL420-0;;;024254-01/4T600PL420;;2;
34602-100;4325P00100-0;;;017108-01;;2;
34603-100;4320PBN010-0;;;009032-03;;2;
34606-100;4320PAN010-0;;;008999-03;;2;
34607-100;4R20P01X30-0;;;022735-01/4R20P01X30;;2;
34608-100;4R30P01X30-0;;;024688-01/4R30P01X30;;2;
34609-100;253D0P0801_AN15-3;;;433DP08010;;;
34610-100;4D40P3A010-0;;;021955-02/4D40P3A010;Kalacak;;
34611-100;4D40P3B010-0;;;021961-02/4D40P3B010;Kalacak;;
34612-100;4D40P3C010-0;;;022027-02/4D40P3C010;;2;
34614-100;4320P00200-0;;;024598-06/4320P00200;;2;
34615-100;4320P00270-0;;;024591-04/4320P00270;;2;
34616-100;4325P00150-0;;;022735-01/4325P00150;;2;
34617-100;253D0PLB01_ASTF-3;;;025235-01/433DP0B010;;;
34618-100;25240P1601_AS35-0;;;S52/240-061;;;
34619-100;25360P1498_U-3;;;025457;;;
34620-100;4B60P01030-0;;;025489-01/4B60P01030;;2;
34621-100;4G30P0B010-0;;;021413;Kalacak;;
34622-100;4G30P0C010-0;;;021414;;2;
34623-100;252C0PM019_U-3;;;025704-01 / 432CP0M090;;;
34624-100;252C0PM003_U-3;;;025926/432CP0M030;;;
34625-100;252C0PM004_U-3;;;025701-01/432CP0M040;;;
34626-100;252C0PM204_U-3;;;026219-01/432CP0M240;;;
34627-100;252C0PM104_U-3;;;025815-01/432CP0M140;;;
34629-100;252C0PMB01_CRADLE_IS25-5;;;025637-01/432CP0BM10;;;
34630-100;252C0PMC01_AN30-3;;;432CP0CM10;;;
34631-100;252E0PMA01_CRADLE_IS16-5;;;02590/01-432EP0AM10;;;
34633-100;252E0PMC01-3;;;432EP0CM10/026187-01;;;
34640-100;24144P6901_U-3;;;016175-02 / 4T14P49510;;;
34641-100;4340PAN010-0;;;014945-1;;2;
34642-100;4340PBN010-0;;;015055-2;;2;
34643-100;4340PCN010-0;;;015112-1;;2;
34644-100;2401VP6801_VI-3;;;029564-01 / 4T01PV8510;;;
34645-100;4R60P48010-0;;;016998-01/4R60P48010;Kalacak;;
34646-100;4R40P45010-0;;;030129-08 / 4R40P45010;Kalacak;;
34647-100;24600P0503_U-3 (iptal);24600P0503_U-3;;4T60P05030/027956-8;;;
34648-100;25800P0020_U-3 iptal;;;4380P00200/030222-08;;;
34649-100;25800PE727-3 iptal;25800P0027_U-3;;4380P00270/031351/05;;;
34650-100;12400P0012_U-3 iptal;;;41400P0120/022102-01;;;
34651-100;4Z20P01020-0 iptal;;;4Z20P01020/000448-04;Kalacak;;
34652-100;4Z20P02010-0 iptal;;;4Z20P02010/000446-04;;;
34653-100;25600PES20_U-3 iptal;;;4360P0ES20/02487804;;;
34654-100;25600PS727_U-3 iptal;;;4360P0ES27/024792-02;;;
34655-100;4Z20P02020-0 iptal;85200P0202_U-3;;4Z20P02020/001421-03;Kalacak;;
34656-200;2940000003-0 iptal;;;031309-08;Kalacak;;
34657-100;20122P0901_AN30-3;;;010112-01/4312P59010;;;
34658-100;253G0PLB01_AN15-3;;;433GP08010;;;
34659-200;2930000001_U-3;;;4R30004010-05;;;
34660-200;2920000001_U-3 iptal;;;4R20004010-06;;;
34661-200;4R80001030-0 iptal;;;4R80001030-04;Kalacak;;
34662-200;4R80004010-0 iptal;;;4R80004010-02;Kalacak;;
34663-200;4R60001030-0;;;4R60001030-08;Kalacak;;
